refactoring -> imports -> add import	Please use only `Logger` instead of `org.slf4j.Logger`
refactoring -> readability -> remove unneeded code -> remove unneeded object instance	Found a better choice here that doesn't involve object creation: StringHelper.startsWith()
refactoring -> readability -> remove unneeded code -> remove unneeded parameter	I am not sure why the API requires both project name and project ID as inputs. Wouldn't it introduce more opportunities for clients to make mistakes?
refactoring -> readability -> remove unneeded code -> remove unneeded parameter	Since we kept the original constructor we might not need this change now.
refactoring -> readability -> remove unneeded code -> remove unneeded parameter	is `fullName` still required as a parameter?
refactoring -> readability -> remove unneeded code -> remove unneeded statement	This is not really needed, the line added in `GridNodeConfiguration.java` is what really fixes the `remoteHost` regression.
refactoring -> readability -> remove unneeded code -> remove unneeded statement	The value of `key` will never be `null` at this point, because `getKey()` will generate a value if it is `null`.
refactoring -> readability -> remove unneeded code -> remove unneeded statement	This can also be removed.
refactoring -> readability -> remove unneeded code -> remove unneeded statement	This `if` is not necessary
refactoring -> readability -> remove unneeded code -> remove unneeded statement	removed asserts from `Vector` as it's stable enough and it may hinder inlining, even if turned off :/
refactoring -> readability -> remove unneeded code -> remove unneeded statement	Do you think you can come up with a better message? :-) It looks like this is not used anywhere. So maybe just delete the line.
refactoring -> readability -> remove unneeded code -> remove unneeded statement	I think you can remove the whole line.
refactoring -> readability -> remove unneeded code -> remove unneeded statement	ARM emulator gets tripped up on the copy/paste menu when tapping the text. Tapping on the text field isn't necessary for setting text.
refactoring -> readability -> remove unneeded code -> remove unneeded statement	Is this needed? I don't see any uses.
refactoring -> readability -> remove unneeded code -> remove unneeded statement	delete this line
refactoring -> readability -> remove unneeded code -> remove unneeded variable cast	Does a type-hint work instead of casting? `return ofAll(toList().<U> zipWith(that, mapper));` (Probably not, just a question.)
refactoring -> readability -> replace method with operator	I think this is should absolutely be `==`, as the interface cannot control the implementation of equals (and it's part of the contract of the enclosing function). Can we add this interface to the exceptions of the rule?
refactoring -> readability -> replace method with operator	I think `==` for nodes is more readable than equals. An equals calls looks like it could be recursing, because intuitively two nodes are equal if their subtree are the equal. But everywhere you replaced, we don't want to test whether the subtrees are structurally equal, we want to know whether they're the same. Only `==` captures this intent, using equals obscures this. Not to mention that equals may NPE and is in that sense less ergonomic. I think we should enhance the rule with a list of types for which `==` is correct. Edit: in the meantime i think we could suppress those new violations...
refactoring -> readability -> replace string literals with variable/constant/method call	can we make `replace-partitions` property a static variable in `SnaphotSummary.java`?
refactoring -> readability -> replace string literals with variable/constant/method call	1.not format code 2.failed but still continue? 3."UTF-8" can changed to java.nio.charset.StandardCharsets.UTF_8.name()
refactoring -> readability -> simplify logic	There is a simpler way to do this: 1. Don't bother with the whole lowerCamelApiTypeName in SampleConfig 2. Use this code: `return localVarName(Name.upperCamel(apiTypeName, "Service"));` Basically, each of the static creation methods of Name just need to have their arguments all be in the same casing, so you would just pass the upper camel string "Service" here.
refactoring -> readability -> simplify logic -> simplify if-else statement	Nit: Maybe merge this with the configProto check on line 208? Don't feel that strongly though, please keep separate if you prefer.
refactoring -> readability -> simplify logic -> simplify if-else statement	I don't think that we need to check `hasArray` here. I think the reason why this didn't previously check `hasArray` is that the array passed to `DataByteArray` must start at offset 0 and be valid through the array length, so a copy was needed in almost every case. It may be simpler to change this to use `ByteBuffers.toByteArray` and pass the result to create `DataByteArray`.
refactoring -> readability -> simplify logic -> simplify if-else statement -> simplify if condition	showNPCs is not needed
refactoring -> readability -> simplify logic -> simplify if-else statement -> simplify if condition	What is the reasoning for using the negation of `isOption()` instead of simply using `isPositional()` to identify a positional param?
refactoring -> readability -> simplify logic -> simplify if-else statement -> simplify if condition	Is this second check necessary? we know that just after the plugin was created its metricRegistry is null, it's set only after `initializeMetrics` has been called.
refactoring -> readability -> simplify logic -> simplify method call	@skestle Just recognized that the `::apply` is not necessary. Does it compile if you leave it away? Could you please check that, I'm on vacation and have no IDE at hand... Thx!
refactoring -> readability -> simplify logic -> simplify return statement	Does a type-hint work instead of casting? `return ofAll(toList().<U> zipWith(that, mapper));` (Probably not, just a question.)
refactoring -> readability -> simplify logic -> simplify switch-case	Is canceled considered failed?
refactoring -> readability -> simplify logic -> simplify variable declaration	I would suggest putting this in the resources directory with the same package as of this test class. Then you can utilize the method azkaban.utils.TestUtils#readResource to read it as string.
refactoring -> readability -> simplify logic -> simplify variable declaration	Please use only `Logger` instead of `org.slf4j.Logger`
refactoring -> recommend alternative implementation	Let's use prepared statements here instead  
refactoring -> recommend alternative implementation	This method can cause bugs. Why don't you use list of finalize statuses and then use join by comma and that will give you correct value. Use Apache Commons Lang library List<Integer> list = Arrays.asList(1,2,3,4,5,6,7); String str = org.apache.commons.lang.StringUtils.join(list, ","); You can use it at multiple places shown in this diff.
refactoring -> recommend alternative implementation	highway have the same problem we can add a new method in invocation: mergeContext 1.if new context have more items, then addAll to new context, and replace old context 2.if new context have less items, then allAll to old context directly.
refactoring -> recommend alternative implementation -> replace method call	One thing we can do in a follow up is use the shorthand calls, so You can just call `aSelection.unselect()` instead of calling the more verbose `execute()`. The fact that you have to check if the action is available sort of sucks though.
refactoring -> recommend alternative implementation -> replace method call	The `JavaCompile#getToolChain` method got removed and I am not sure what a good replacement is. I replaced it with `targetCompat` for now but they are not equivalent. Maybe we can use `JavaVersion#current` here?
refactoring -> recommend alternative implementation -> replace method call	What is the reasoning for using the negation of `isOption()` instead of simply using `isPositional()` to identify a positional param?
refactoring -> recommend alternative implementation -> replace method call	Yeah, why not use this method instead of checking with `containsKey`?
refactoring -> recommend alternative implementation -> replace method call	can you change this instead to just `type.toString()` and then you wouldn't have to expose the getBitMask in the enum. (Alternatively you could have used `type.hashCode()` but that doesn't feel as nice)
refactoring -> renaming -> rename class	How about name it with NullResponseTypeProcessor
refactoring -> renaming -> rename class	We call it Kind2 and move out of the `javaslang/control` package into the `javaslang`package. Maybe I will later generate Kind1..Kindn but that's another story.
refactoring -> renaming -> rename class	I don't think we should have separate "transformer" and "generator" terms. I would suggest renaming this existing class `ImportTypeTransformer` to `StandardImportTypeTransformer` and renaming the interface `ImportGenerator` to `ImportTypeTransformer`.
refactoring -> renaming -> rename method	Maybe `LibraryDetailsPanelType` would be clearer.
refactoring -> renaming -> rename method	I think the name of the method should match the name of the action: `removeReachableFiles`.
refactoring -> renaming -> rename method	Minor: If this is going to be public, we should fix the name. `get` doesn't add any value. How about `distributionModeFor` instead?
refactoring -> renaming -> rename method	streamHandle sounds vague to me. Can you be more specific?
refactoring -> renaming -> rename method	This is just a renaming of the function getResourceType() to getResourceReference()
refactoring -> renaming -> rename method	I think we should name this `grpcMethodName` or similar. That is what this refers to, right? The fact that it is upper camel is an implementation.
refactoring -> renaming -> rename method	I think this needs a more specific name, like `sequenceNumberOverride`
refactoring -> renaming -> rename method	As this method is just set the internal cofigModel, it's better to use setConfigs instead of addConfigs.
refactoring -> renaming -> rename method	weird naming: `is` but `fields` (plural or singular ?) . If the method checks if the fragment has an invalid value, then "hasInvalidValue" or "containsInvalidValue" is fine no ?
refactoring -> renaming -> rename method	It just does the check, maybe we can name it as checkOperations.
refactoring -> renaming -> rename package	I noticed in all of these we now have to import the PrecompiledContract under testing. Could also rename the package these are in s/precompiles/precompile to keep them in the same package as they are elsewhere.
refactoring -> renaming -> rename parameter	How about putting `epochLength` (or something like that) in place of `a` just to make it easier to read
refactoring -> renaming -> rename parameter	minor: please rename all occurrences of `A` to `T`. please also rename `v` to `value`.
refactoring -> renaming -> rename variable/constant	hmm should this be `VERSION_81` instead?
refactoring -> renaming -> rename variable/constant	I'm not sure if the boolean flags should always contain `is`, also I generally hate too long names... ;) we already know this is a section for circuit breakers, so the name doesn't have to repeat all of it. How about `cpuBreakerEnabled`, `memoryBreakerEnabled` etc?
refactoring -> renaming -> rename variable/constant	minor: please rename all occurrences of `A` to `T`. please also rename `v` to `value`.
refactoring -> renaming -> rename variable/constant	I believe in previous PRs @mccheah frequently used `fileSchema` -> `newFileSchema` type of renames to avoid hiding fields in builders. Would it make sense to make it consistent?
refactoring -> renaming -> rename variable/constant	nit: `Contentful` is the word used in the GV API, without the uppercase in F
refactoring -> renaming -> rename variable/constant	Shouldn't "source" be a noun? How about? -EXECUTION_SOURCE_USER -EXECUTION_SOURCE_SCHEDULE -EXECUTION_SOURCE_EVENT (because it's an event based trigger mechanism)
refactoring -> renaming -> rename variable/constant	I would rename the field to IMAGE_TYPES and make it an array. I don't think we need list operations. Also, if possible, I would move the field to the ApiFields class. What do you think?
refactoring -> renaming -> rename variable/constant	Could we shorten this constant to maybe `FEATURE_USER_AUTH`?
refactoring -> renaming -> rename variable/constant	Could the name of the status be confusing to users? It says the execution stopped but is it a temporary stop? Will it continue to run at some point? To me the name does not suggest a final status but a transition one. WDYT @sshardool @jakhani @djaiswal83 @aditya1105
refactoring -> typing -> change variable/constant type	Why not have mailPort as int since your are already parsing while calling t.connect ?
refactoring -> typing -> change variable/constant type	why not just use `ManifestContent` instead of `Integer`?
refactoring -> typing -> change variable/constant type	Just an understanding question: do we need a map here, would a list/set of Strings be sufficient? we are not adding entries with `false` here, are we? Being in the list already means it's used, right?
refactoring -> typing -> change variable/constant type	I would rename the field to IMAGE_TYPES and make it an array. I don't think we need list operations. Also, if possible, I would move the field to the ApiFields class. What do you think?
refactoring -> typing -> change variable/constant type	I think this can be an int because we have a default that is always valid, `0`.
refactoring -> typing -> change variable/constant type	this can be integer
refactoring -> typing -> change variable/constant type	Why the need for a `ConcurrentHashMap`?
